,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
45,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Izumi,43.6499697935016,-79.36015326451906,Asian
46,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics
47,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
48,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
49,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
50,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Flame Shack,43.656844075440546,-79.35891727496157,Restaurant
51,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antiques
52,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Roots,43.71821373389962,-79.46389305304558,Boutique
53,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home
54,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese
55,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Apparel
56,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
57,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories
