,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
45,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,TD Canada Trust,43.65277976270277,-79.35633626256559,Shop & Service
46,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Shop & Service
47,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Savoury Grounds,43.65682097000449,-79.3589698353747,Food
48,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Wine Rack,43.656573,-79.356928,Shop & Service
49,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,FUEL+,43.653193,-79.355867,Food
50,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,GW General,43.650495,-79.357538,Shop & Service
51,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Roots,43.71821373389961,-79.46389305304558,Shop & Service
52,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Shop & Service
53,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Food
54,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Shop & Service
55,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Tim Hortons,43.7194274,-79.46799490000001,Food
56,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Shop & Service
57,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Rinx Real Entertainment Centre,43.717842200220865,-79.46223069665501,Professional & Other Places
58,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,International Clothiers,43.717997,-79.46672,Shop & Service
59,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Sirens,43.718744,-79.463914,Shop & Service
60,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Bluenotes,43.718053735782526,-79.46320043192486,Shop & Service
61,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Urban Behavior,43.7188985531354,-79.46469467303574,Shop & Service
62,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Party City,43.71941805471303,-79.459316806156,Shop & Service
63,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Urban Planet,43.718121000000004,-79.467567,Shop & Service
64,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Imperial Carpet & Home,43.716671999999996,-79.467415,Shop & Service
65,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Universal Lighting,43.721684499999995,-79.46630959999999,Shop & Service
66,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Queen's Park,43.663946098977746,-79.39217952520833,Outdoors & Recreation
67,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Food
68,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Neo Coffee Bar,43.660140000000006,-79.38587,Food
69,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Sushi Box,43.66295954544153,-79.38657996066199,Food
70,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Central YMCA,43.663083310067655,-79.38502493214878,Professional & Other Places
71,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coffee Public,43.66076299149322,-79.38618409033066,Food
72,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Food
73,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Bar Volo,43.66546184849369,-79.3856915831566,Nightlife Spot
74,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Sushi,43.66588533093685,-79.38697684868161,Food
75,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350755,Outdoors & Recreation
76,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Curry's Art Store Ltd.,43.66283810530194,-79.38373201352064,Shop & Service
77,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190545,Food
78,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Food
79,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,401 Games,43.66362327785325,-79.3840374323983,Shop & Service
80,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coach House Restaurant,43.664990598532036,-79.38481415727767,Food
81,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Arts & Entertainment
82,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Flock Rotisserie + Greens,43.659167,-79.389475,Food
83,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Dollarama,43.66068,-79.38468,Shop & Service
84,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Fran's,43.66125532013864,-79.38389304122866,Food
85,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Food
86,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Shop & Service
87,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Food
88,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,RBC Royal Bank,43.65933603842843,-79.38977326176166,Shop & Service
89,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Subway,43.658970119202614,-79.3908742539673,Food
90,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.66103820000001,-79.39379659999999,Food
91,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Food
92,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857403,Outdoors & Recreation
93,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.659414899999994,-79.3912214,Food
94,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966202,Nightlife Spot
95,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College & University
96,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Food
97,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.658906200000004,-79.38869609999999,Food
98,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Understudy Café at Gerstein,43.66230805386788,-79.39409796741381,College & University
99,Scarborough,"Malvern, Rouge",43.8066863,-79.19435340000003,Wendy’s,43.807448419347566,-79.19905558052072,Food
100,North York,Don Mills,43.7459058,-79.352188,Island Foods,43.74586607398898,-79.34603533317939,Food
101,North York,Don Mills,43.7459058,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Food
102,North York,Don Mills,43.7459058,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Outdoors & Recreation
103,North York,Don Mills,43.7459058,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Food
104,North York,Don Mills,43.7459058,-79.352188,Elite Basketball Camps,43.748789728,-79.35422793,Outdoors & Recreation
105,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Food
106,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Outdoors & Recreation
107,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TD Canada Trust,43.70573988375594,-79.31227013468738,Shop & Service
108,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Shoppers Drug Mart,43.705933,-79.312825,Shop & Service
109,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Food
110,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Rise & Dine Eatery,43.705769000000004,-79.311638,Food
111,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Nostalgia,43.70683277191706,-79.31178314223834,Food
112,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Animal Clinic,43.70592051370348,-79.3121958344716,Shop & Service
113,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.705232834483006,-79.31327432821827,Travel & Transport
114,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Food
115,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Harvey's,43.708136278147926,-79.3141045886623,Food
116,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891098,Outdoors & Recreation
117,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Silver Snail Comics,43.657031379584076,-79.38140310220501,Shop & Service
118,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Shop & Service
119,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,DAVIDsTEA,43.65697339589283,-79.38103961039258,Food
120,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.3783431837677,Food
121,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Page One Cafe,43.657771611126,-79.37607256916809,Food
122,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.656053897421884,-79.38049504264389,Outdoors & Recreation
123,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Arts & Entertainment
124,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Food
125,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Food
126,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997794,Food
127,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Arts & Entertainment
128,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Food
129,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Food
130,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455336,-79.37919882575555,Food
131,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College & University
132,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Shop & Service
133,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Barberian's Steak House,43.657755129259264,-79.38217741375935,Food
134,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.656859999999995,-79.38091,Food
135,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.38101080745759,Shop & Service
136,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Food
137,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Food
138,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.65454011298853,-79.38067738352994,Shop & Service
139,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Image Centre,43.657523371610935,-79.37945958709186,Arts & Entertainment
140,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Shop & Service
141,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Solei Tanning Salon,43.65473408234762,-79.38024826065258,Shop & Service
142,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.65339379601959,-79.3785073962175,Arts & Entertainment
143,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632362,-79.37889120754515,Food
144,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Food
145,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Crepe Delicious,43.65453648827725,-79.38088885547485,Food
146,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.656449012077424,-79.3741100180102,Travel & Transport
147,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Five Guys,43.65711651847632,-79.38085267976494,Food
148,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Food
