,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Lollipops Gelato,40.89412315020528,-73.84589162362325,Desserts
1,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Walgreens,40.896528,-73.8447,Pharmacy
2,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Carvel Ice Cream,40.89048668575961,-73.84856772568665,Ice Cream
3,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.896649,-73.84484609999998,Pharmacy
4,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.8904587811365,-73.84908886747644,Donuts
5,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Shell,40.894187118166535,-73.84586195733381,Gas Station
6,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Subway,40.89046821651127,-73.8491520209833,Sandwiches
7,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Pitman Deli,40.89674377441406,-73.84439849853516,Food
8,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Louis Pizza,40.898399,-73.84881,Pizza
9,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Koss Quick Wash,40.891281,-73.84990400000002,Laundromat
10,Bronx,Co-op City,40.87429419303012,-73.829939108124,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza
11,Bronx,Co-op City,40.87429419303012,-73.829939108124,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
12,Bronx,Co-op City,40.87429419303012,-73.829939108124,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
13,Bronx,Co-op City,40.87429419303012,-73.829939108124,United States Postal Service,40.876544999714135,-73.82897794246674,Post Office
14,Bronx,Co-op City,40.87429419303012,-73.829939108124,Bagels on Bartow,40.87028,-73.828611,Bagels
15,Bronx,Co-op City,40.87429419303012,-73.829939108124,Food Universe Marketplace,40.876739879810536,-73.82898048976519,Grocery Store
16,Bronx,Co-op City,40.87429419303012,-73.829939108124,Arby's,40.870411299999994,-73.82860600000001,Fast Food
17,Bronx,Co-op City,40.87429419303012,-73.829939108124,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
18,Bronx,Co-op City,40.87429419303012,-73.829939108124,MTA MaBSTOA Bus Bx28 / Bx30 / Bx38 / MTA Bus Bx23/ BxM7/ Q50 at the Dreiser Loop / Co-op City Blvd (Section 1/2),40.87594319504508,-73.82940420195395,Bus Station
19,Bronx,Co-op City,40.87429419303012,-73.829939108124,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
20,Bronx,Co-op City,40.87429419303012,-73.829939108124,Capri Deli,40.876220703125,-73.8296890258789,Deli / Bodega
21,Bronx,Co-op City,40.87429419303012,-73.829939108124,Section 4 Basketball Courts (Co Op City),40.872412,-73.826302,Basketball Court
22,Bronx,Co-op City,40.87429419303012,-73.829939108124,The Park,40.87764512391663,-73.8308358066107,Park
23,Bronx,Co-op City,40.87429419303012,-73.829939108124,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793183889,-73.83383813932801,Bus Station
24,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Fish & Ting,40.885656,-73.829197,Caribbean
25,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Cozy Cottage Restaurant,40.88633207186384,-73.8276156192422,Diner
26,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Mario's Pizza,40.888627624391134,-73.83126012557018,Pizza
27,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dyre Fish Market,40.889317642958616,-73.83145257358295,Seafood
28,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.885384192918174,-73.8280987591753,Donuts
29,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dyre Deli Grocery,40.88823525219036,-73.83128232689451,Deli / Bodega
30,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Golden Krust Caribbean Restaurant,40.888488,-73.83108299999998,Caribbean
31,Bronx,Eastchester,40.887555677350775,-73.82780644716412,BowlerLand,40.88601990111869,-73.82320747767669,Bowling Alley
32,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dyre Ave Diner,40.88796872908225,-73.83141284372412,Diner
33,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Royal Caribbean Bakery,40.888249,-73.831661,Caribbean
34,Bronx,Eastchester,40.887555677350775,-73.82780644716412,McDonald's,40.88563631373264,-73.82683955509486,Fast Food
35,Bronx,Eastchester,40.887555677350775,-73.82780644716412,4 Star Auto Glass,40.885905,-73.82732299999998,Automotive
36,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Imperial beverage center,40.88914699260084,-73.82929692582755,Food & Drink
37,Bronx,Eastchester,40.887555677350775,-73.82780644716412,NYW&B Railway - Baychester,40.88788215518787,-73.83116319314648,Platform
38,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA Bus - BX 16,40.8879034381361,-73.83125388185631,Bus Station
39,Bronx,Eastchester,40.887555677350775,-73.82780644716412,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",40.88800860085501,-73.83133279875986,Bus Station
40,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Sunshine Supermarket,40.888888,-73.831019,Deli / Bodega
41,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Adil Newsstand & Grocery,40.888433208510854,-73.83127682668768,Convenience Store
42,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA Bus & Bee Line Bx16/W52 @ Dyre Avenue and Light Street,40.88816692651785,-73.83152504085197,Bus Stop
43,Bronx,Fieldston,40.89543742690383,-73.90564259591682,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza
44,Bronx,Fieldston,40.89543742690383,-73.90564259591682,Riverside Drive,40.896507486527454,-73.90826091791374,River
45,Bronx,Fieldston,40.89543742690383,-73.90564259591682,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816832,Bus Station
46,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Riverdale Ave,40.890424929507866,-73.91024841803599,Plaza
47,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Bell Tower Park,40.88917798960079,-73.90833081276627,Park
48,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Chase Bank,40.888089,-73.907921,Bank
49,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Seton Park,40.88791393116787,-73.91611321473175,Park
50,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Park Lunch,40.887052545514,-73.91315349663766,Food Truck
51,Bronx,Riverdale,40.890834493891305,-73.9125854610857,MTA BX7 238th Stop,40.889035747646595,-73.90804948585459,Bus Station
52,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Hayden On Hudson Gym,40.889593,-73.917446,Gym
53,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Garden Gourmet Market,40.88135023917183,-73.90338943716418,Gourmet
54,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Leche y Miel,40.883742,-73.90185699999998,Latin American
55,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Kingsbridge Social Club,40.88454548045115,-73.90196378126393,Pizza
56,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Carvel Ice Cream,40.883657145742866,-73.90165452034793,Ice Cream
57,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza
58,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,El Malecon,40.87933806746814,-73.90445707056641,Caribbean
59,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
60,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Smashburger,40.884220851709706,-73.90033254824955,Burgers
61,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Bronx Alehouse,40.884748872627185,-73.89969883486997,Beer Bar
62,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,BJ's  Wholesale Club,40.8841035566464,-73.90026731218994,Warehouse Store
63,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Mon Amour Coffee & Wine,40.88500863418534,-73.90033222698837,Coffee Shop
64,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Q'Kachapa,40.880005888670006,-73.9041570896363,Spanish
65,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican
66,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Tilila,40.88387242577101,-73.89820853750416,Bar
67,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,El Economico Restaurant,40.87933018698782,-73.90459710835415,Spanish
68,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Buffalo Wild Wings,40.88446010603607,-73.90042394399644,Wings
69,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,MyUnique,40.88196572342435,-73.90358396335206,Thrift / Vintage
70,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,The Putnam Trail,40.88518925064586,-73.89944963459462,Trail
71,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican
72,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Loeser's Delicatessen,40.879111,-73.905693,Sandwiches
73,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Chipotle Mexican Grill,40.88456619551229,-73.9004737612446,Mexican
74,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Riverdale Diner,40.88518285486936,-73.89948352054364,Diner
75,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,ALDI,40.8778363,-73.9046557,Supermarket
76,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,S & S Cheesecake,40.88479273266669,-73.89986081581755,Bakery
77,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Sugarboy Bakery Cafe,40.877948,-73.90286,Bakery
78,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Leila's Hand Dipped Chocolate,40.879541,-73.905327,Candy Store
79,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Lot Less Closeouts,40.87827042220209,-73.90526467426041,Discount Store
80,Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,Broadway Pizza & Pasta,40.87882247136464,-73.90449402840686,Pizza
